k,answer_precision,answer_recall,answer_accuracy,expl_precision,expl_recall,expl_accuracy
1,0.4358974358974359,0.4857142857142857,0.4666666666666667,0.71875,0.39655172413793105,0.4
2,0.4838709677419355,0.42857142857142855,0.43333333333333335,0.5757575757575758,0.3275862068965517,0.36666666666666664
3,0.4411764705882353,0.42857142857142855,0.4,0.5142857142857142,0.3103448275862069,0.3333333333333333
4,0.47058823529411764,0.45714285714285713,0.4,0.5454545454545454,0.3103448275862069,0.4
5,0.4358974358974359,0.4857142857142857,0.43333333333333335,0.4634146341463415,0.3275862068965517,0.4
6,0.5,0.5714285714285714,0.5,0.45,0.3103448275862069,0.3
7,0.6,0.6,0.5333333333333333,0.5428571428571428,0.3275862068965517,0.4
8,0.4864864864864865,0.5142857142857142,0.36666666666666664,0.5135135135135135,0.3275862068965517,0.3
9,0.575,0.6571428571428571,0.4666666666666667,0.625,0.43103448275862066,0.43333333333333335
10,0.5,0.45714285714285713,0.5,0.4857142857142857,0.29310344827586204,0.4
11,0.6097560975609756,0.7142857142857143,0.5,0.5952380952380952,0.43103448275862066,0.4
12,0.631578947368421,0.6857142857142857,0.5333333333333333,0.6153846153846154,0.41379310344827586,0.36666666666666664
13,0.5172413793103449,0.42857142857142855,0.4666666666666667,0.6071428571428571,0.29310344827586204,0.3333333333333333
14,0.5641025641025641,0.6285714285714286,0.43333333333333335,0.5789473684210527,0.3793103448275862,0.23333333333333334
15,0.5945945945945946,0.6285714285714286,0.4666666666666667,0.6756756756756757,0.43103448275862066,0.3
16,0.48936170212765956,0.6571428571428571,0.5,0.6170212765957447,0.5,0.43333333333333335
17,0.6153846153846154,0.6857142857142857,0.5666666666666667,0.7027027027027027,0.4482758620689655,0.36666666666666664
18,0.5714285714285714,0.6857142857142857,0.5333333333333333,0.6190476190476191,0.4482758620689655,0.36666666666666664
19,0.5853658536585366,0.6857142857142857,0.5333333333333333,0.7105263157894737,0.46551724137931033,0.3333333333333333
20,0.5555555555555556,0.5714285714285714,0.4,0.525,0.3620689655172414,0.26666666666666666
