Category,Iteration,Precision,Recall,F1,Accuracy
Answer,1,0.7979,0.7500,0.7732,0.6531
Explanation,1,0.0000,0.0000,0.0000,0.0000
Answer,2,0.8085,0.7600,0.7835,0.6735
Explanation,2,0.0000,0.0000,0.0000,0.0000
Answer,3,0.8085,0.7600,0.7835,0.6735
Explanation,3,0.0000,0.0000,0.0000,0.0000
Answer,4,0.8085,0.7600,0.7835,0.6735
Explanation,4,0.0000,0.0000,0.0000,0.0000
Answer,5,0.8085,0.7600,0.7835,0.6735
Explanation,5,0.0000,0.0000,0.0000,0.0000
Answer,1,0.7957,0.7475,0.7708,0.6327
Explanation,1,0.0000,0.0000,0.0000,0.0000
Answer,2,0.8065,0.7576,0.7812,0.6531
Explanation,2,0.0000,0.0000,0.0000,0.0000
Answer,3,0.8065,0.7576,0.7812,0.6531
Explanation,3,0.0000,0.0000,0.0000,0.0000
Answer,4,0.8065,0.7576,0.7812,0.6531
Explanation,4,0.0000,0.0000,0.0000,0.0000
Answer,5,0.8065,0.7576,0.7812,0.6531
Explanation,5,0.0000,0.0000,0.0000,0.0000
Answer,1,0.7957,0.7475,0.7708,0.6327
Explanation,1,0.0000,0.0000,0.0000,0.0000
Answer,2,0.8065,0.7576,0.7812,0.6531
Explanation,2,0.0000,0.0000,0.0000,0.0000
Answer,3,0.8065,0.7576,0.7812,0.6531
Explanation,3,0.0000,0.0000,0.0000,0.0000
Answer,4,0.8065,0.7576,0.7812,0.6531
Explanation,4,0.0000,0.0000,0.0000,0.0000
Answer,5,0.8065,0.7576,0.7812,0.6531
Explanation,5,0.0000,0.0000,0.0000,0.0000
Answer,1,0.7957,0.7475,0.7708,0.6327
Explanation,1,0.0000,0.0000,0.0000,0.0000
Answer,2,0.8065,0.7576,0.7812,0.6531
Explanation,2,0.0000,0.0000,0.0000,0.0000
Answer,3,0.8065,0.7576,0.7812,0.6531
Explanation,3,0.0000,0.0000,0.0000,0.0000
Answer,4,0.8065,0.7576,0.7812,0.6531
Explanation,4,0.0000,0.0000,0.0000,0.0000
Answer,5,0.8065,0.7576,0.7812,0.6531
Explanation,5,0.0000,0.0000,0.0000,0.0000
Answer,1,0.7957,0.7475,0.7708,0.6327
Explanation,1,0.0000,0.0000,0.0000,0.0000
Answer,2,0.8065,0.7576,0.7812,0.6531
Explanation,2,0.0000,0.0000,0.0000,0.0000
Answer,3,0.8065,0.7576,0.7812,0.6531
Explanation,3,0.0000,0.0000,0.0000,0.0000
Answer,4,0.8065,0.7576,0.7812,0.6531
Explanation,4,0.0000,0.0000,0.0000,0.0000
Answer,5,0.8065,0.7576,0.7812,0.6531
Explanation,5,0.0000,0.0000,0.0000,0.0000
