Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.7500,8
single table single row,2,1.0000,0.8889,0.9412,0.8750,0.7500,0.6667,0.7059,0.7500,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.8750,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.8750,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.8750,8
two tables single join,1,0.6667,0.3333,0.4444,0.3333,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.6000,0.2500,0.3529,0.2500,0.2500,0.0833,0.1250,0.0833,12
two tables single join,3,0.4286,0.2500,0.3158,0.2500,0.1429,0.0833,0.1053,0.0833,12
two tables single join,4,0.5000,0.2500,0.3333,0.2500,0.1667,0.0833,0.1111,0.0833,12
two tables single join,5,1.0000,0.2500,0.4000,0.2500,0.2500,0.0833,0.1250,0.0833,12
three tables two join,1,0.5000,0.0714,0.1250,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.3333,0.0714,0.1176,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.3333,0.0714,0.1176,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,4,0.3333,0.0714,0.1176,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,5,0.3333,0.0714,0.1176,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,1.0000,0.7143,0.8333,0.2500,0.4000,0.2857,0.3333,0.0000,8
two tables single join multiple rows,2,1.0000,0.8000,0.8889,0.3750,0.3448,0.2857,0.3125,0.0000,8
two tables single join multiple rows,3,1.0000,0.8286,0.9062,0.5000,0.3333,0.2857,0.3077,0.0000,8
two tables single join multiple rows,4,1.0000,0.8286,0.9062,0.5000,0.1667,0.1429,0.1538,0.0000,8
two tables single join multiple rows,5,1.0000,0.8286,0.9062,0.5000,0.1667,0.1429,0.1538,0.0000,8
single table multiple rows,1,1.0000,0.8667,0.9286,0.7273,0.6538,0.5667,0.6071,0.0909,11
single table multiple rows,2,0.9615,0.8333,0.8929,0.7273,0.6154,0.5333,0.5714,0.0909,11
single table multiple rows,3,0.9259,0.8333,0.8772,0.7273,0.5714,0.5333,0.5517,0.0909,11
single table multiple rows,4,0.9259,0.8333,0.8772,0.7273,0.5714,0.5333,0.5517,0.0909,11
single table multiple rows,5,0.9259,0.8333,0.8772,0.7273,0.5714,0.5333,0.5517,0.0909,11
