Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
three tables two joins,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,8
two tables single join,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,0.0000,0.0000,0.0000,0.0000,9
three tables two joins,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,8
two tables single join,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,0.0000,0.0000,0.0000,0.0000,9
three tables two joins,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,8
two tables single join,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,0.0000,0.0000,0.0000,0.0000,9
