Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,0.9524,0.9302,0.9412,0.7273,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,0.9474,0.5070,0.6606,0.3000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,0.9000,0.4500,0.6000,0.8000,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.5556,0.5556,0.5556,0.5556,1.0000,1.0000,1.0000,0.5556,9
single table multiple rows,0.9565,0.8627,0.9072,0.6667,1.0000,0.9020,0.9485,0.6667,9
three tables two joins,0.9524,0.9302,0.9412,0.7273,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,0.9474,0.5070,0.6606,0.3000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,0.9000,0.4500,0.6000,0.8000,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.5556,0.5556,0.5556,0.5556,1.0000,1.0000,1.0000,0.5556,9
single table multiple rows,0.9565,0.8627,0.9072,0.6667,1.0000,0.9020,0.9485,0.6667,9
