Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
three tables two joins,1,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.1667,0.0233,0.0408,0.0000,11
three tables two joins,3,0.1250,0.0233,0.0392,0.0000,11
three tables two joins,4,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.2500,0.1000,0.1429,0.2000,10
two tables single join,2,0.2000,0.1000,0.1333,0.2000,10
two tables single join,3,0.2857,0.1000,0.1481,0.2000,10
two tables single join,4,0.2857,0.1000,0.1481,0.2000,10
two tables single join,5,0.2000,0.1000,0.1333,0.2000,10
single table single row,1,0.1429,0.1250,0.1333,0.1250,8
single table single row,2,0.6667,0.2500,0.3636,0.2500,8
single table single row,3,0.2500,0.1250,0.1667,0.1250,8
single table single row,4,0.2000,0.1250,0.1538,0.1250,8
single table single row,5,0.1667,0.1250,0.1429,0.1250,8
single table multiple rows,1,0.2857,0.0784,0.1231,0.0000,9
single table multiple rows,2,0.2381,0.0980,0.1389,0.0000,9
single table multiple rows,3,0.2941,0.0980,0.1471,0.0000,9
single table multiple rows,4,0.3750,0.1176,0.1791,0.0000,9
single table multiple rows,5,0.4211,0.1569,0.2286,0.0000,9
